config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(8+2)(7+1) 32000 1000000 10 6 0.99786562560125421383127257854790653367914412509253
(8+2)(7+1) 32000 1000000 10 7 0.99912611547732394481211537832210850642575767658196
(8+2)(7+1) 32000 1000000 10 8 0.99959584968038504542557137071907208700871446839785
(8+2)(7+1) 32000 1000000 10 9 0.99979494389995700971821670727252637650325235021890
(8+2)(7+1) 32000 1000000 10 10 0.99988811149844401206661758756707412298823037560736
(8+2)(7+1) 32000 1000000 11 1 0
(8+2)(7+1) 32000 1000000 11 2 0
(8+2)(7+1) 32000 1000000 11 3 0.94418876112176562588796959574529363903018883716862
(8+2)(7+1) 32000 1000000 11 4 0.99370728576576726061290093855002191108866545057179
(8+2)(7+1) 32000 1000000 11 5 0.99883124897370448367208483037765920377637578259986
(8+2)(7+1) 32000 1000000 11 6 0.99969942315610340952412472413108341282525686158713
(8+2)(7+1) 32000 1000000 11 7 0.99990335030562723107210896139166317946405031454785
(8+2)(7+1) 32000 1000000 11 8 0.99996347968205115717074294345627023643047041601893
(8+2)(7+1) 32000 1000000 11 9 0.99998441648325295070976598472134292978532350665526
(8+2)(7+1) 32000 1000000 11 10 0.99999269009427464857007751080705965037921789189422
(8+2)(7+1) 32000 1000000 11 11 0.99999630134619870045428865733388652529523307308371
(8+2)(7+1) 32000 1000000 12 1 0
(8+2)(7+1) 32000 1000000 12 2 0
(8+2)(7+1) 32000 1000000 12 3 0.97768600807316385514941256711341975297472200156452
(8+2)(7+1) 32000 1000000 12 4 0.99866956622702948067382911940329779434888889316311
(8+2)(7+1) 32000 1000000 12 5 0.99984387825975742677227312482451929616752562590294
(8+2)(7+1) 32000 1000000 12 6 0.99997175841437032354530064843706428430158145655704
(8+2)(7+1) 32000 1000000 12 7 0.99999315370160035671277637116724597613092696772898
(8+2)(7+1) 32000 1000000 12 8 0.99999795415161922808846783164764337438182886310574
(8+2)(7+1) 32000 1000000 12 9 0.99999928528039615710909520975042276342461294140134
(8+2)(7+1) 32000 1000000 12 10 0.99999971825216540115468747783672697011532422303973
(8+2)(7+1) 32000 1000000 12 11 0.99999987773506927049574114474369094681119444513831
(8+2)(7+1) 32000 1000000 12 12 0.99999994263113385918726599622629727945700418808156
(8+2)(7+1) 32000 1000000 13 1 0
(8+2)(7+1) 32000 1000000 13 2 0
(8+2)(7+1) 32000 1000000 13 3 0.99259036440188425554349367765724405304399257490425
(8+2)(7+1) 32000 1000000 13 4 0.99979319679993058569739485461222823447363080329661
(8+2)(7+1) 32000 1000000 13 5 0.99998586731486227820705405864142187289630669636336
(8+2)(7+1) 32000 1000000 13 6 0.99999830387563890953037962358676400891820905395114
(8+2)(7+1) 32000 1000000 13 7 0.99999970347742273279497814280064397750213135341696
(8+2)(7+1) 32000 1000000 13 8 0.99999993235195337136179661277403944416475273036690
