num of racks affected,num of nodes affected,Occurance,probability
15,1,0.0,0.0
15,2,0.0,0.0
15,3,0.0,0.0
15,4,0.0,0.0
15,5,0.0,0.0
15,6,0.0,0.0
15,7,0.0,0.0
15,8,0.0,0.0
15,9,0.0,0.0
15,10,0.0,0.0
15,11,0.0,0.0
15,12,0.0,0.0
15,13,0.0,0.0
15,14,0.0,0.0
15,15,1.0,2.8967874627038615e-06
15,16,1.0,2.8967874627038615e-06
15,17,1.0,2.8967874627038615e-06
15,18,1.0,2.8967874627038615e-06
15,19,1.0,2.8967874627038615e-06
15,20,1.0,2.8967874627038615e-06
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,0.0,0.0
16,7,0.0,0.0
16,8,0.0,0.0
16,9,0.0,0.0
16,10,0.0,0.0
16,11,0.0,0.0
16,12,0.0,0.0
16,13,0.0,0.0
16,14,0.0,0.0
16,15,0.0,0.0
16,16,1.0,2.8967874627038615e-06
16,17,1.0,2.8967874627038615e-06
16,18,1.0,2.8967874627038615e-06
16,19,1.0,2.8967874627038615e-06
16,20,1.0,2.8967874627038615e-06
17,1,0.0,0.0
17,2,0.0,0.0
17,3,0.0,0.0
17,4,0.0,0.0
17,5,0.0,0.0
17,6,0.0,0.0
17,7,0.0,0.0
17,8,0.0,0.0
17,9,0.0,0.0
17,10,0.0,0.0
17,11,0.0,0.0
17,12,0.0,0.0
17,13,0.0,0.0
17,14,0.0,0.0
17,15,0.0,0.0
17,16,0.0,0.0
17,17,1.0,2.8967874627038615e-06
17,18,1.0,2.8967874627038615e-06
17,19,1.0,2.8967874627038615e-06
17,20,1.0,2.8967874627038615e-06
18,1,0.0,0.0
18,2,0.0,0.0
18,3,0.0,0.0
18,4,0.0,0.0
18,5,0.0,0.0
18,6,0.0,0.0
18,7,0.0,0.0
18,8,0.0,0.0
18,9,0.0,0.0
18,10,0.0,0.0
18,11,0.0,0.0
18,12,0.0,0.0
18,13,0.0,0.0
18,14,0.0,0.0
18,15,0.0,0.0
18,16,0.0,0.0
18,17,0.0,0.0
18,18,1.0,2.8967874627038615e-06
18,19,1.0,2.8967874627038615e-06
18,20,1.0,2.8967874627038615e-06
19,1,0.0,0.0
