num of racks affected,num of nodes affected,Occurance,probability
2,17,24.0,6.919816624859441e-05
2,18,21.0,6.054839546752011e-05
2,19,20.0,5.7665138540495344e-05
2,20,18.0,5.189862468644581e-05
2,21,17.0,4.9015367759421044e-05
2,22,16.0,4.613211083239628e-05
2,23,15.0,4.3248853905371505e-05
2,24,14.0,4.036559697834674e-05
2,25,13.0,3.748234005132197e-05
2,26,13.0,3.748234005132197e-05
2,27,12.0,3.4599083124297205e-05
2,28,12.0,3.4599083124297205e-05
2,29,11.0,3.171582619727244e-05
2,30,11.0,3.171582619727244e-05
2,31,10.0,2.8832569270247672e-05
2,32,10.0,2.8832569270247672e-05
2,33,9.0,2.5949312343222905e-05
2,34,9.0,2.5949312343222905e-05
2,35,9.0,2.5949312343222905e-05
2,36,9.0,2.5949312343222905e-05
2,37,8.0,2.306605541619814e-05
2,38,8.0,2.306605541619814e-05
2,39,8.0,2.306605541619814e-05
2,40,8.0,2.306605541619814e-05
2,41,7.0,2.018279848917337e-05
2,42,7.0,2.018279848917337e-05
2,43,7.0,2.018279848917337e-05
2,44,7.0,2.018279848917337e-05
2,45,7.0,2.018279848917337e-05
2,46,7.0,2.018279848917337e-05
2,47,6.0,1.7299541562148603e-05
2,48,6.0,1.7299541562148603e-05
2,49,6.0,1.7299541562148603e-05
2,50,6.0,1.7299541562148603e-05
3,1,0.0,0.0
3,2,0.0,0.0
3,3,2282.0,0.006579592307470519
3,4,293.0,0.0008447942796182568
3,5,86.0,0.00024796009572413
3,6,38.0,0.00010956376322694115
3,7,21.0,6.054839546752011e-05
3,8,14.0,4.036559697834674e-05
3,9,10.0,2.8832569270247672e-05
3,10,7.0,2.018279848917337e-05
3,11,6.0,1.7299541562148603e-05
3,12,5.0,1.4416284635123836e-05
3,13,4.0,1.153302770809907e-05
3,14,4.0,1.153302770809907e-05
3,15,3.0,8.649770781074301e-06
3,16,3.0,8.649770781074301e-06
3,17,3.0,8.649770781074301e-06
3,18,2.0,5.766513854049535e-06
3,19,2.0,5.766513854049535e-06
3,20,2.0,5.766513854049535e-06
3,21,2.0,5.766513854049535e-06
3,22,2.0,5.766513854049535e-06
3,23,2.0,5.766513854049535e-06
3,24,2.0,5.766513854049535e-06
3,25,2.0,5.766513854049535e-06
3,26,2.0,5.766513854049535e-06
3,27,2.0,5.766513854049535e-06
3,28,2.0,5.766513854049535e-06
3,29,1.0,2.8832569270247674e-06
3,30,1.0,2.8832569270247674e-06
3,31,1.0,2.8832569270247674e-06
3,32,1.0,2.8832569270247674e-06
3,33,1.0,2.8832569270247674e-06
3,34,1.0,2.8832569270247674e-06
3,35,1.0,2.8832569270247674e-06
3,36,1.0,2.8832569270247674e-06
3,37,1.0,2.8832569270247674e-06
3,38,1.0,2.8832569270247674e-06
3,39,1.0,2.8832569270247674e-06
3,40,1.0,2.8832569270247674e-06
3,41,1.0,2.8832569270247674e-06
3,42,1.0,2.8832569270247674e-06
3,43,1.0,2.8832569270247674e-06
3,44,1.0,2.8832569270247674e-06
3,45,1.0,2.8832569270247674e-06
3,46,1.0,2.8832569270247674e-06
3,47,1.0,2.8832569270247674e-06
3,48,1.0,2.8832569270247674e-06
3,49,1.0,2.8832569270247674e-06
3,50,1.0,2.8832569270247674e-06
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,244.0,0.0007035146901940432
4,5,41.0,0.00011821353400801545
4,6,14.0,4.036559697834674e-05
4,7,7.0,2.018279848917337e-05
4,8,5.0,1.4416284635123836e-05
4,9,3.0,8.649770781074301e-06
4,10,3.0,8.649770781074301e-06
4,11,2.0,5.766513854049535e-06
4,12,2.0,5.766513854049535e-06
4,13,2.0,5.766513854049535e-06
4,14,1.0,2.8832569270247674e-06
4,15,1.0,2.8832569270247674e-06
4,16,1.0,2.8832569270247674e-06
4,17,1.0,2.8832569270247674e-06
4,18,1.0,2.8832569270247674e-06
