config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 48 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 49 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 50 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 51 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 52 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 53 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 54 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 55 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 56 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 57 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 58 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 59 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 60 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 61 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 62 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 63 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 64 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 65 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 66 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 67 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 68 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 69 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 70 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 71 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 72 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 73 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 74 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 75 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 76 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 77 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 78 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 79 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 80 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 81 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 82 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 83 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 84 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 85 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 86 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 87 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 88 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 89 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 90 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 91 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 92 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 93 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 94 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 95 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 96 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 97 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 98 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 99 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 100 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 1 3 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 2 3 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 3 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 3 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 3 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 5 3 0.0039 2.409 0.07 39 10000.0 notadapt
(1+0)(8+2) 32000 6 3 0.0113 1.947 0.041 113 10000.0 notadapt
(1+0)(8+2) 32000 7 3 0.0196 1.708 0.031 196 10000.0 notadapt
(1+0)(8+2) 32000 8 3 0.0378 1.423 0.022 378 10000.0 notadapt
(1+0)(8+2) 32000 9 3 0.0531 1.275 0.019 531 10000.0 notadapt
(1+0)(8+2) 32000 10 3 0.0768 1.115 0.016 768 10000.0 notadapt
(1+0)(8+2) 32000 11 3 0.1097 0.96 0.013 1097 10000.0 notadapt
(1+0)(8+2) 32000 12 3 0.1396 0.855 0.012 1396 10000.0 notadapt
(1+0)(8+2) 32000 13 3 0.183 0.738 0.01 1830 10000.0 notadapt
(1+0)(8+2) 32000 14 3 0.2284 0.641 0.009 2284 10000.0 notadapt
(1+0)(8+2) 32000 15 3 0.2691 0.57 0.008 2691 10000.0 notadapt
(1+0)(8+2) 32000 16 3 0.3255 0.487 0.008 3255 10000.0 notadapt
(1+0)(8+2) 32000 17 3 0.3822 0.418 0.007 3822 10000.0 notadapt
(1+0)(8+2) 32000 18 3 0.4261 0.37 0.007 4261 10000.0 notadapt
(1+0)(8+2) 32000 19 3 0.4864 0.313 0.006 4864 10000.0 notadapt
(1+0)(8+2) 32000 20 3 0.5336 0.273 0.006 5336 10000.0 notadapt
(1+0)(8+2) 32000 21 3 0.5909 0.228 0.006 5909 10000.0 notadapt
(1+0)(8+2) 32000 22 3 0.6445 0.191 0.005 6445 10000.0 notadapt
(1+0)(8+2) 32000 23 3 0.6951 0.158 0.005 6951 10000.0 notadapt
(1+0)(8+2) 32000 24 3 0.7486 0.126 0.005 7486 10000.0 notadapt
(1+0)(8+2) 32000 25 3 0.7858 0.105 0.005 7858 10000.0 notadapt
(1+0)(8+2) 32000 26 3 0.8156 0.089 0.005 8156 10000.0 notadapt
(1+0)(8+2) 32000 27 3 0.8547 0.068 0.005 8547 10000.0 notadapt
(1+0)(8+2) 32000 28 3 0.8909 0.05 0.005 8909 10000.0 notadapt
(1+0)(8+2) 32000 29 3 0.9149 0.039 0.005 9149 10000.0 notadapt
(1+0)(8+2) 32000 4 4 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 5 4 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 4 0.0018 2.745 0.102 18 10000.0 notadapt
(1+0)(8+2) 32000 7 4 0.0082 2.086 0.048 82 10000.0 notadapt
(1+0)(8+2) 32000 8 4 0.0165 1.783 0.034 165 10000.0 notadapt
(1+0)(8+2) 32000 9 4 0.0269 1.57 0.026 269 10000.0 notadapt
(1+0)(8+2) 32000 10 4 0.0412 1.385 0.021 412 10000.0 notadapt
(1+0)(8+2) 32000 11 4 0.0578 1.238 0.018 578 10000.0 notadapt
(1+0)(8+2) 32000 12 4 0.0791 1.102 0.015 791 10000.0 notadapt
(1+0)(8+2) 32000 13 4 0.1014 0.994 0.014 1014 10000.0 notadapt
(1+0)(8+2) 32000 14 4 0.1295 0.888 0.012 1295 10000.0 notadapt
(1+0)(8+2) 32000 15 4 0.1596 0.797 0.011 1596 10000.0 notadapt
(1+0)(8+2) 32000 16 4 0.1981 0.703 0.01 1981 10000.0 notadapt
(1+0)(8+2) 32000 17 4 0.225 0.648 0.009 2250 10000.0 notadapt
(1+0)(8+2) 32000 18 4 0.271 0.567 0.008 2710 10000.0 notadapt
(1+0)(8+2) 32000 19 4 0.3232 0.491 0.008 3232 10000.0 notadapt
(1+0)(8+2) 32000 5 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 6 5 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 7 5 0.0018 2.745 0.102 18 10000.0 notadapt
(1+0)(8+2) 32000 8 5 0.0047 2.328 0.063 47 10000.0 notadapt
(1+0)(8+2) 32000 9 5 0.0114 1.943 0.041 114 10000.0 notadapt
(1+0)(8+2) 32000 10 5 0.0227 1.644 0.029 227 10000.0 notadapt
(1+0)(8+2) 32000 11 5 0.0282 1.55 0.026 282 10000.0 notadapt
(1+0)(8+2) 32000 12 5 0.0487 1.312 0.02 487 10000.0 notadapt
(1+0)(8+2) 32000 13 5 0.0607 1.217 0.018 607 10000.0 notadapt
(1+0)(8+2) 32000 14 5 0.0785 1.105 0.016 785 10000.0 notadapt
(1+0)(8+2) 32000 15 5 0.1004 0.998 0.014 1004 10000.0 notadapt
(1+0)(8+2) 32000 16 5 0.1234 0.909 0.012 1234 10000.0 notadapt
(1+0)(8+2) 32000 17 5 0.1547 0.811 0.011 1547 10000.0 notadapt
(1+0)(8+2) 32000 18 5 0.1796 0.746 0.01 1796 10000.0 notadapt
(1+0)(8+2) 32000 19 5 0.2145 0.669 0.009 2145 10000.0 notadapt
(1+0)(8+2) 32000 6 6 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 7 6 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 8 6 0.0018 2.745 0.102 18 10000.0 notadapt
(1+0)(8+2) 32000 9 6 0.0042 2.377 0.067 42 10000.0 notadapt
(1+0)(8+2) 32000 10 6 0.0119 1.924 0.04 119 10000.0 notadapt
(1+0)(8+2) 32000 11 6 0.0178 1.75 0.033 178 10000.0 notadapt
(1+0)(8+2) 32000 12 6 0.0245 1.611 0.028 245 10000.0 notadapt
(1+0)(8+2) 32000 13 6 0.0366 1.437 0.023 366 10000.0 notadapt
(1+0)(8+2) 32000 14 6 0.0505 1.297 0.019 505 10000.0 notadapt
(1+0)(8+2) 32000 15 6 0.066 1.18 0.017 660 10000.0 notadapt
(1+0)(8+2) 32000 16 6 0.0841 1.075 0.015 841 10000.0 notadapt
(1+0)(8+2) 32000 17 6 0.1016 0.993 0.014 1016 10000.0 notadapt
(1+0)(8+2) 32000 18 6 0.1199 0.921 0.013 1199 10000.0 notadapt
(1+0)(8+2) 32000 19 6 0.149 0.827 0.011 1490 10000.0 notadapt
(1+0)(8+2) 32000 7 7 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 8 7 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 7 0.0012 2.921 0.125 12 10000.0 notadapt
(1+0)(8+2) 32000 10 7 0.0048 2.319 0.063 48 10000.0 notadapt
(1+0)(8+2) 32000 11 7 0.0081 2.092 0.048 81 10000.0 notadapt
(1+0)(8+2) 32000 12 7 0.012 1.921 0.04 120 10000.0 notadapt
(1+0)(8+2) 32000 13 7 0.0226 1.646 0.029 226 10000.0 notadapt
(1+0)(8+2) 32000 14 7 0.0317 1.499 0.024 317 10000.0 notadapt
(1+0)(8+2) 32000 15 7 0.0437 1.36 0.021 437 10000.0 notadapt
(1+0)(8+2) 32000 16 7 0.0555 1.256 0.018 555 10000.0 notadapt
(1+0)(8+2) 32000 17 7 0.068 1.167 0.017 680 10000.0 notadapt
(1+0)(8+2) 32000 18 7 0.0883 1.054 0.015 883 10000.0 notadapt
(1+0)(8+2) 32000 19 7 0.1042 0.982 0.013 1042 10000.0 notadapt
(1+0)(8+2) 32000 8 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 9 8 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 10 8 0.0005 3.301 0.194 5 10000.0 notadapt
(1+0)(8+2) 32000 11 8 0.003 2.523 0.079 30 10000.0 notadapt
(1+0)(8+2) 32000 12 8 0.0071 2.149 0.052 71 10000.0 notadapt
(1+0)(8+2) 32000 13 8 0.013 1.886 0.038 130 10000.0 notadapt
(1+0)(8+2) 32000 14 8 0.0212 1.674 0.03 212 10000.0 notadapt
(1+0)(8+2) 32000 15 8 0.0271 1.567 0.026 271 10000.0 notadapt
(1+0)(8+2) 32000 16 8 0.0376 1.425 0.022 376 10000.0 notadapt
(1+0)(8+2) 32000 17 8 0.0482 1.317 0.02 482 10000.0 notadapt
(1+0)(8+2) 32000 18 8 0.0602 1.22 0.018 602 10000.0 notadapt
(1+0)(8+2) 32000 19 8 0.0752 1.124 0.016 752 10000.0 notadapt
(1+0)(8+2) 32000 9 9 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 10 9 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 11 9 0.001 3.0 0.137 10 10000.0 notadapt
(1+0)(8+2) 32000 12 9 0.0042 2.377 0.067 42 10000.0 notadapt
(1+0)(8+2) 32000 13 9 0.0065 2.187 0.054 65 10000.0 notadapt
(1+0)(8+2) 32000 14 9 0.0103 1.987 0.043 103 10000.0 notadapt
(1+0)(8+2) 32000 15 9 0.0184 1.735 0.032 184 10000.0 notadapt
(1+0)(8+2) 32000 16 9 0.0245 1.611 0.028 245 10000.0 notadapt
(1+0)(8+2) 32000 17 9 0.0323 1.491 0.024 323 10000.0 notadapt
(1+0)(8+2) 32000 18 9 0.0436 1.361 0.021 436 10000.0 notadapt
(1+0)(8+2) 32000 19 9 0.0492 1.308 0.02 492 10000.0 notadapt
(1+0)(8+2) 32000 10 10 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 11 10 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 12 10 0.0011 2.959 0.131 11 10000.0 notadapt
(1+0)(8+2) 32000 13 10 0.0036 2.444 0.072 36 10000.0 notadapt
(1+0)(8+2) 32000 14 10 0.0071 2.149 0.052 71 10000.0 notadapt
(1+0)(8+2) 32000 15 10 0.0104 1.983 0.043 104 10000.0 notadapt
(1+0)(8+2) 32000 16 10 0.0176 1.754 0.033 176 10000.0 notadapt
(1+0)(8+2) 32000 17 10 0.0218 1.662 0.029 218 10000.0 notadapt
(1+0)(8+2) 32000 18 10 0.0283 1.548 0.026 283 10000.0 notadapt
(1+0)(8+2) 32000 19 10 0.0375 1.426 0.022 375 10000.0 notadapt
(1+0)(8+2) 32000 11 11 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 12 11 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 13 11 0.001 3.0 0.137 10 10000.0 notadapt
