model,failure_time,failure,app,r_5,n_5,r_183,n_183,r_184,n_184,r_187,n_187,r_195,n_195,r_197,n_197,r_199,n_199,r_program,n_program,r_erase,n_erase,n_blocks,n_wearout,r_241,n_241,r_242,n_242,r_9,n_9,r_12,n_12,r_174,n_174,n_175,disk_id,node_id,rack_id,machine_room_id,diff,burst_glob_id
B3,2018-05-24 21:28:01,1,WSM,8.0,99.0,8.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,67545865021.0,99.0,86540218463.0,99.0,9786.0,98.0,21.0,99.0,,,,25378,137616,7144,261,2.0,9709
A4,2019-01-15 11:02:25,1,none,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,99.0,315274.0,100.0,11038.0,100.0,20885.0,100.0,42.0,100.0,37.0,100.0,100.0,22852,137664,3046,159,-1.0,9710
B2,2019-01-15 11:02:25,1,none,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,99.0,319864354852.0,99.0,9512529296.0,99.0,20886.0,95.0,42.0,99.0,,,,28271,137664,3046,159,0.0,9710
C1,2019-07-24 14:22:52,1,WSM,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115896,138001,8587,76,1657005.0,9729
C1,2019-07-24 14:22:52,1,WSM,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,28.0,100.0,24.0,100.0,,115898,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:52,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115897,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:52,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,93.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115893,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:52,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115892,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:52,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,93.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115902,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:52,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,93.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115894,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:54,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,26.0,100.0,24.0,100.0,,115888,138001,8587,76,2.0,9729
C1,2019-07-24 14:22:54,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115895,138001,8587,76,0.0,9729
C1,2019-07-24 14:22:54,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,,,,,16790.0,100.0,30.0,100.0,24.0,100.0,,115890,138001,8587,76,0.0,9729
