config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+6)(16+1) 32000 1000000 20 15 2.1593818829911152348971766539511086942156E-10
(32+6)(16+1) 32000 1000000 20 16 2.7686645292707539795804558748113746581021E-10
(32+6)(16+1) 32000 1000000 20 17 3.4460737409451419352896479902648803493454E-10
(32+6)(16+1) 32000 1000000 20 18 4.1876817672267956575472080822511488347164E-10
(32+6)(16+1) 32000 1000000 20 19 4.9896262186723408485893026699362617219572E-10
(32+6)(16+1) 32000 1000000 20 20 5.8481858943222809170385663623228621314226E-10
(32+6)(16+1) 32000 1000000 21 1 0E-49
(32+6)(16+1) 32000 1000000 21 2 0E-49
(32+6)(16+1) 32000 1000000 21 3 0E-49
(32+6)(16+1) 32000 1000000 21 4 0E-49
(32+6)(16+1) 32000 1000000 21 5 0E-49
(32+6)(16+1) 32000 1000000 21 6 0E-49
(32+6)(16+1) 32000 1000000 21 7 0E-49
(32+6)(16+1) 32000 1000000 21 8 3.97833497506272859431338787072943948960E-12
(32+6)(16+1) 32000 1000000 21 9 1.545782625911533348914916247131420386129E-11
(32+6)(16+1) 32000 1000000 21 10 3.664749171763878558070233901612744079755E-11
(32+6)(16+1) 32000 1000000 21 11 6.866357400055741482304466923746564647224E-11
(32+6)(16+1) 32000 1000000 21 12 1.1188529702856370648774230883373257251663E-10
(32+6)(16+1) 32000 1000000 21 13 1.6623530282661383762882581589463819723151E-10
(32+6)(16+1) 32000 1000000 21 14 2.3136924384455123853132607609244648186442E-10
(32+6)(16+1) 32000 1000000 21 15 3.0679691306846289776757413334660715744755E-10
(32+6)(16+1) 32000 1000000 21 16 3.9195757374055922151438100358159131382154E-10
(32+6)(16+1) 32000 1000000 21 17 4.8626593633289040889198388675481625790673E-10
(32+6)(16+1) 32000 1000000 21 18 5.8913963735517472245522157762042171011893E-10
(32+6)(16+1) 32000 1000000 21 19 7.0001514189437294337276747735060171620217E-10
(32+6)(16+1) 32000 1000000 21 20 8.1835643234828394942206897091461706710766E-10
(32+6)(16+1) 32000 1000000 21 21 9.4365922627401902511527150754391277604089E-10
(32+6)(16+1) 32000 1000000 22 1 0E-49
(32+6)(16+1) 32000 1000000 22 2 0E-49
(32+6)(16+1) 32000 1000000 22 3 0E-49
(32+6)(16+1) 32000 1000000 22 4 0E-49
(32+6)(16+1) 32000 1000000 22 5 0E-49
(32+6)(16+1) 32000 1000000 22 6 0E-49
(32+6)(16+1) 32000 1000000 22 7 0E-49
(32+6)(16+1) 32000 1000000 22 8 5.80215319438589978994675705073450936609E-12
(32+6)(16+1) 32000 1000000 22 9 2.236544598526014101828278118917062338733E-11
(32+6)(16+1) 32000 1000000 22 10 5.266377170660494965561848604716240783195E-11
(32+6)(16+1) 32000 1000000 22 11 9.808976821135740093557276589927988223143E-11
(32+6)(16+1) 32000 1000000 22 12 1.5900562022797274016940283695393384130840E-10
(32+6)(16+1) 32000 1000000 22 13 2.3515740283670640797638686513558978180584E-10
(32+6)(16+1) 32000 1000000 22 14 3.2594628615763534158897396630164981453360E-10
(32+6)(16+1) 32000 1000000 22 15 4.3059690977017818604689387607035252850910E-10
(32+6)(16+1) 32000 1000000 22 16 5.4825910440116222762520903750493555765809E-10
(32+6)(16+1) 32000 1000000 22 17 6.7806799744276065701757030087801008069842E-10
(32+6)(16+1) 32000 1000000 22 18 8.1917851948495721337501273869684357147526E-10
(32+6)(16+1) 32000 1000000 22 19 9.7078427604091605581072752976145796929273E-10
(32+6)(16+1) 32000 1000000 22 20 1.13212692789599002925502167084337318757725E-9
(32+6)(16+1) 32000 1000000 22 21 1.30249986298704335596331744467458533673818E-9
(32+6)(16+1) 32000 1000000 22 22 1.48124849217708642852073301223663252358415E-9
(32+6)(16+1) 32000 1000000 23 1 0E-49
(32+6)(16+1) 32000 1000000 23 2 0E-49
(32+6)(16+1) 32000 1000000 23 3 0E-49
