config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 33 2 0.1334 nines sigma 1334 10000 notadapt
(1+0)(8+2) 32000 34 2 0.1398 nines sigma 1398 10000 notadapt
(1+0)(8+2) 32000 35 2 0.154 nines sigma 1540 10000 notadapt
(1+0)(8+2) 32000 36 2 0.1674 nines sigma 1674 10000 notadapt
(1+0)(8+2) 32000 37 2 0.1857 nines sigma 1857 10000 notadapt
(1+0)(8+2) 32000 38 2 0.1957 nines sigma 1957 10000 notadapt
(1+0)(8+2) 32000 39 2 0.2089 nines sigma 2089 10000 notadapt
(1+0)(8+2) 32000 40 2 0.2227 nines sigma 2227 10000 notadapt
(1+0)(8+2) 32000 41 2 0.2371 nines sigma 2371 10000 notadapt
(1+0)(8+2) 32000 42 2 0.2534 nines sigma 2534 10000 notadapt
(1+0)(8+2) 32000 43 2 0.2719 nines sigma 2719 10000 notadapt
(1+0)(8+2) 32000 44 2 0.2826 nines sigma 2826 10000 notadapt
(1+0)(8+2) 32000 45 2 0.2992 nines sigma 2992 10000 notadapt
(1+0)(8+2) 32000 46 2 0.3309 nines sigma 3309 10000 notadapt
(1+0)(8+2) 32000 47 2 0.3372 nines sigma 3372 10000 notadapt
(1+0)(8+2) 32000 48 2 0.3561 nines sigma 3561 10000 notadapt
(1+0)(8+2) 32000 49 2 0.3741 nines sigma 3741 10000 notadapt
(1+0)(8+2) 32000 50 2 0.3914 nines sigma 3914 10000 notadapt
(1+0)(8+2) 32000 51 2 0.4202 nines sigma 4202 10000 notadapt
(1+0)(8+2) 32000 52 2 0.4225 nines sigma 4225 10000 notadapt
(1+0)(8+2) 32000 53 2 0.4394 nines sigma 4394 10000 notadapt
(1+0)(8+2) 32000 54 2 0.4665 nines sigma 4665 10000 notadapt
(1+0)(8+2) 32000 3 3 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 4 3 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 5 3 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 6 3 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 7 3 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 8 3 0.0006 nines sigma 6 10000 notadapt
(1+0)(8+2) 32000 9 3 0.0011 nines sigma 11 10000 notadapt
(1+0)(8+2) 32000 10 3 0.0021 nines sigma 21 10000 notadapt
(1+0)(8+2) 32000 11 3 0.0014 nines sigma 14 10000 notadapt
(1+0)(8+2) 32000 12 3 0.0022 nines sigma 22 10000 notadapt
(1+0)(8+2) 32000 13 3 0.0036 nines sigma 36 10000 notadapt
(1+0)(8+2) 32000 14 3 0.0049 nines sigma 49 10000 notadapt
(1+0)(8+2) 32000 15 3 0.006 nines sigma 60 10000 notadapt
(1+0)(8+2) 32000 16 3 0.006 nines sigma 60 10000 notadapt
(1+0)(8+2) 32000 17 3 0.0091 nines sigma 91 10000 notadapt
(1+0)(8+2) 32000 18 3 0.008 nines sigma 80 10000 notadapt
(1+0)(8+2) 32000 19 3 0.0097 nines sigma 97 10000 notadapt
(1+0)(8+2) 32000 4 4 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 5 4 0.0 nines sigma 0 10000 notadapt
